,PC 1,PC 2,PC 3,PC 4,PC 5,PC 6,PC 7,PC 8,PC 9,PC 10,PC 11,PC 12,PC 13,PC 14,PC 15,PC 16,PC 17,PC 18,PC 19,PC 20,PC 21,PC 22,PC 23,PC 24,PC 25,PC 26,PC 27,PC 28,PC 29,PC 30,PC 31,PC 32,PC 33,PC 34,PC 35,PC 36,PC 37,PC 38,PC 39,PC 40,PC 41,PC 42,PC 43,PC 44,PC 45,PC 46,PC 47,PC 48,PC 49,PC 50,PC 51,PC 52,PC 53,PC 54,PC 55,PC 56,PC 57,PC 58,PC 59,PC 60,PC 61
LM 1_X,-0.009764689943990285,-0.02379703470191457,0.007232517965238645,0.004563867604277384,-0.010950706796742348,0.0026745170117838876,0.12257919978926574,-0.03139007398662937,-0.022131335526168153,0.06077899136277692,0.17393834859803586,0.011363132476053164,0.09589026810204433,0.09090160628850147,-0.03195943042848132,-0.15404190033554443,-0.11189846647483886,0.034008112276281754,-0.03605167914300829,0.0838005093012171,-0.014587429466761146,-0.00201245068589393,0.10098312009449896,0.011833896010056284,-0.019125768200356177,-0.07331658831156818,0.014311215456677257,-0.0713587608910523,0.07665718522992804,0.11396141152290117,-0.0255753073917303,-0.04490556320596503,-0.08583665947866076,-0.0778208162651411,0.12217076755466938,0.024644880959747515,0.011847753477323402,0.06046897519420926,0.057252793520413826,0.04405574538256937,-0.012736246814118177,-0.10877213200334171,0.11363339595567878,-0.0410485658759034,0.01826652633501902,0.08498325029303666,-0.00909664752412033,0.011098747500881608,0.10398885607956512,-0.0037833081201879676,0.02100203559401373,-0.07091007936581081,-0.14712930911061628,-0.06465861809354978,0.02030420342492545,0.024639961184377217,0.0038962797182435414,-0.06448543487304824,0.07454919127085041,0.03527672008149346,0.1299627222393093
LM 1_Y,0.019973376104523766,-0.012074365211628885,-0.023649756973744017,0.01412243992014756,0.0018444906543772371,0.014012649842532778,0.008571160432826852,0.012143910094203972,-0.021644961160815587,0.06786605942474667,0.0755869434862067,0.06441482560891608,-0.024285163974520324,-0.030543679044744726,-0.018470143165953627,-0.103599711477875,-0.0008181142763705462,-0.0742042390528051,-0.04046303100761926,0.052350793886315784,-0.05472787283133768,0.06073699081489082,-0.02362514769968714,-0.0456931603073429,-0.006382541411338085,0.027054375728265426,0.04976942712509152,-0.022208115963147902,-0.029049223984800948,-0.006451165464876195,-0.019868027080966792,0.005583403592767478,0.09300733549178485,-0.05197219995132648,-0.03378553666813855,0.09172335690456258,0.0073249215793293465,-0.027714522978483726,0.0671582111494601,-0.02966755793712918,-0.03572312420537904,0.011928732971300274,0.0381304447482199,-0.04262662608673398,-0.10217035452116208,0.06316807834541284,-0.030607564711302975,-0.09198958510033783,-0.13095908804915862,-0.06395071242579645,0.11982472937880523,0.09308656748397347,0.10529673443826248,0.0216460734330966,0.012420931387795507,0.003914168788341001,0.0519266220373659,0.010172119191794659,0.16297166146703954,0.07805541220520427,0.08344330000735922
LM 1_Z,-0.03482214267087458,-0.030192448083644907,0.001031329124696792,-0.01567746956016739,0.034823798018835166,-0.024506722483629804,0.03172848244777282,-0.024896165704083498,-0.05258000356431356,0.049512146874086144,0.08192487215439997,0.0203953094844553,0.004039293670484639,0.05322957205989362,0.03423305866643502,-0.04563694021206546,-0.11086678261637437,0.031606830485645,-0.026210408518806527,0.01290941650603894,-0.011048685254961044,-0.06395910468620215,0.04852929833145252,0.08391160513621397,0.0031175312034069603,-0.020499021703428738,0.04558401868956592,0.017403306869209947,0.0245636618684272,0.0730559523500926,-0.081092613748699,0.0828344516252346,-0.10256111377717457,0.021784380041455418,0.08435045482886783,0.044404722754985484,0.004804029049848233,0.03306303211000915,0.05762585023387781,0.08496569362244978,0.006979248843450274,-0.013206698261073041,0.02204496402450548,-0.0036452391855358833,0.13179038887988948,0.03071875731120853,-0.04735803635190959,0.05214738076472829,0.006085277971204008,0.11645100503367119,-0.11554540853109753,0.03152464961300462,0.07032420474560772,-0.03451371107814759,0.06527780829054022,0.08771949474136573,-0.16062824002070908,-0.020311940801229823,-0.05215803572222519,-0.03951530017992795,-0.27855960265346613
LM 2_X,0.035698893884223495,0.019384166762147603,-0.03585566874150761,0.017178375465819067,-0.033885950932396214,0.061109271386688875,-0.027188220886319364,0.05601802463270089,0.09381658196825718,-0.004862147647259313,-0.027889871834158586,0.10234702356122989,-0.11263303768416437,-0.015132943004387084,0.04455901419645214,0.04371369346651563,0.1477929232700777,0.04459444365249662,0.08501017671909672,0.1455483929291322,0.08319800822224202,-0.014506028532274154,-0.12175608860683892,-0.20008425647997244,-0.1103872189524125,-0.09039019749398947,0.08142653927452956,0.09726569371578063,-0.05726778076199667,-0.018720179692184223,-0.034325105062260906,-0.03158403777397838,0.1826513752094707,0.05519730941082587,-0.095130999179341,0.13126801759236997,-0.005542399403028799,-0.06241790823192609,-0.005025061086629182,0.02740136686006194,-0.11147036996251121,0.09307712112711912,0.08844729791060488,-0.010341487484336082,-0.03760566883028691,0.001518699711184047,0.06132792555881128,-0.03805550710808435,0.058609322818295395,-0.019186730700167087,-0.10362226499360855,-0.06996032187661792,-0.05930099747826236,-0.1211982255332418,0.150375907646802,-0.18002853275087422,-0.11510676366001493,-0.08303708365022966,0.014126307802866332,-0.07714203333009856,-0.04258132872037099
LM 2_Y,-0.03086783009781788,-0.007718222261279911,0.03369260665943674,-0.08121263815309059,0.0051782846626336615,-0.0780267431278299,-0.06829480676659982,0.006560866267086504,0.012946174120265545,0.03198004792984775,0.00472815509446918,0.025476908554792996,0.1168806662537673,0.044038554415920333,0.0020075950893778255,-0.04911714682072488,-0.043965316742088256,0.04881931845668468,-0.03553031885483522,-0.013822580438989346,-0.11564809042824417,-0.01453772957222229,0.06022486135370125,0.07070541260733033,-0.02446362138560123,0.03663810614574156,-0.19870420648179993,0.026060671796733006,0.07036578599304358,-0.11102300481733998,-0.014513941369965103,0.03687166946806639,-0.02450560755281124,0.15295477929177903,-0.030095437528203747,-0.018717477002346775,0.06445244740434432,0.2544350972357048,-0.02608501440129941,-0.01976103335925612,0.002731937931790762,0.045596215908922696,-0.13519308797830082,0.08229464395677771,0.03723485442320605,-0.10840352623473073,-0.13868061289998596,0.059319816401374514,-0.11902883207554116,-0.055127660659529926,-0.06559611972487447,0.03968184898732786,-0.03845645738432536,0.028944966212074617,-0.012014995494460532,0.004435705063782895,0.17800078305575023,0.18436219467546264,0.07589456286272651,-0.013571682871099658,0.09197287850028463
LM 2_Z,0.011617894088091121,0.04835941944119275,-0.06453252660527131,0.05896519404000253,-0.019026016031405774,0.12796733482917028,-0.05600869769263858,0.03965447537442867,0.03080028982110862,-0.0013484377724604507,-0.03965391302510435,-0.007332749532713675,-0.09382793101655126,0.049470225121152865,-0.10872795090748996,0.15068344471864994,0.12461073217357134,-0.03179782352871079,0.07331829210973595,0.0034311436142404894,0.12505151135452858,-0.0070715687924758665,-0.09291261011678248,-0.10789082730927929,0.06253585846240382,-0.06832366834351139,-0.19180704397114362,-0.028822661152074616,-0.11395194728350251,0.025773985285745288,0.10229401259101745,-0.06332979840818742,-0.005760887254704902,0.09768163717174874,0.08239069760299597,0.11287011837826197,-0.1757692444177001,0.150010905036497,-0.04965267217961873,0.06843925766927914,-0.01704974600899471,-0.015787760396572384,-0.07780033082756188,-0.008435306744648943,0.14056181737325601,0.1471570591118821,0.08827733667655142,-0.05571620916092236,-0.16505981134233122,0.09661644530316114,0.008122606964296519,0.07177383140031995,0.0182069691498363,-0.012826461655686244,-0.08771514872947254,0.15216131065695926,-0.026384878743233444,-0.007637670792002841,-0.03462494596595636,0.12773259237063292,-0.09203149277331102
LM 3_X,-0.014617367942927834,-0.05608679289900169,0.08330884776952374,-0.10891644539883161,0.02063872055681966,-0.12621251914178197,0.020601163076197693,0.03519834683498367,-0.02098798188135657,-0.003777856821842486,-0.10672517724304281,-0.0009090877087005421,0.07890364105971426,-0.06322381478938471,0.13995792210443778,0.05876827657955297,-0.048007168114172744,0.07817987454991343,-0.12670233002321188,-0.096916889779873,-0.0877083715654967,0.021296327961258067,-0.019341143512608766,0.11474563104985065,-0.2663096328761113,0.052031931968590156,0.10115340333106447,0.05366452822036906,0.0015559073307438165,-0.10508370913548526,-0.09913550542603175,0.08612840775834044,0.20482003619093575,0.029942329523336836,0.0157048053261144,-0.18603185550455606,0.2690616312899895,-0.14706147274170084,0.07966327021973058,-0.11384675459054419,-0.001208094534473552,0.011891725882779619,-0.06482252735604599,-0.027468077300445676,0.11405339044990861,0.07660669622939788,0.010020771930528758,0.06565830022691421,0.042663604170474975,-0.015472680398739832,0.10899959482140718,0.01481939890327088,-0.07712332099578242,-5.610697856800809e-05,-0.011211857929938429,-0.006560162199366256,-0.084309241201101,-0.11832621177834317,-0.021741248060104256,0.15540717309908428,-0.12371651564141689
LM 3_Y,0.048624100984326714,0.10029135444064413,0.10968807897642224,0.12540417888791905,-0.09224312724761918,-0.06855238606260322,-0.045574060279303746,-0.06725692535677968,-0.02445973722015131,0.05718283999946669,-0.016955807536393586,0.008613299157388194,-0.0612569414541434,-0.048822391799034665,0.0750284118965851,0.07186136630140877,-0.05285419669296895,-0.04697645200218604,-0.006700823781546371,-0.06813230141995227,0.02542175536657141,0.05946372403193235,-0.04511446928442392,-0.048078096030416885,-0.034439153029564705,0.017092966361610742,-0.13796502880193853,-0.08354733739888719,-0.0033128421849235035,0.09022574034114642,-0.04427747132013872,0.13204449264661866,-0.08105350994911503,0.01951705889901685,0.045878870188807735,-0.1243269644195187,-0.004940955545564455,-0.09283899784367643,-0.07269675223618885,0.047635225995997406,0.05081954122026887,-0.009571776538183557,-0.010269887398489691,-0.04351516631230758,0.16710414517962618,-0.1061503586314314,0.020659973775211345,-0.0250077935409727,-0.021962989845836126,-0.14280527313288355,-0.04959204678549322,-0.02319476683814596,0.19190523001041085,-0.022004544327814325,-0.11857572057149285,-0.11843164130043277,-0.0640601460011293,-0.056409352324147864,-0.00389343305094024,0.0043550274128959,0.23180433100184844
LM 3_Z,-0.04671546448122918,-0.08088838859683954,-0.09949832548284515,-0.11840077144203576,0.07827983554780826,0.03743038875379109,0.010523550238954987,0.06828755509973741,0.05336559248773645,-0.07836874766716886,-0.03148156035379912,-0.02119417682978695,0.06551813622700256,0.054272014232381344,-0.05643063301482987,-0.0034212426915842947,0.12089229282776426,0.08325777377866525,0.011743659218608093,0.054605572545972314,0.015746528556911128,-0.17813468494989088,-0.026485067239349347,-0.016311226196095686,-0.02977282880734768,0.038474645860724695,-0.043703273581560315,-0.005571475061595402,0.014236658925301258,-0.13709534423852007,0.07737506004299469,-0.06996590752921986,0.06355050137536276,-0.023089333491163055,-0.04456023927977912,0.0391338448474781,0.04420210080654958,0.05990152448793401,0.0025754225010405224,-0.097127754516469,0.013675662010971253,0.008650448717717196,-0.07260689782283672,-0.06050674334976424,-0.2727753918349996,0.1390418221349572,-0.06608016120324875,0.07708873559567253,-0.04359357427208868,0.03481899241755802,-0.09547236245405508,-0.16194619571732685,-0.05942994230898049,0.013213269526608444,0.023415823327270616,0.12396002908556866,-0.015949486570298356,0.036488818364823476,0.041529650085435695,-0.016421686478920727,0.01536015357452365
LM 4_X,0.026701188026680176,0.11702590465508723,-0.1704924592448486,0.12984097314319742,0.030505290884228202,-0.18041304139047834,0.1360410055885789,-0.003933938182342098,0.12543903718477958,-0.045009339794442355,-0.14510094868578327,-0.033264059989914996,-0.0301708770972145,0.048464765928333986,0.025274172129938995,0.06766391724175991,0.11884196506331707,0.07254131097948877,0.03606478957165972,-0.14905483608871314,-0.064329959962574,-0.02044720059892343,0.07150364181151697,0.09070109810923219,0.00012777686238758107,-0.02719735205835988,0.011992907360040907,-0.0032421304770327564,0.05149472973458728,0.1587662339822034,0.009352049896816733,-0.06184259228230974,0.021718059436347713,0.053172131889883664,-0.14727188238564534,0.009984348721170763,-0.09290902924087135,-0.06294423399186982,0.08880567081507601,0.04699711710954026,-0.10182251128158074,-0.18582882274637738,-0.020731396162961407,-0.021588866015481795,0.02941485542470422,0.010816521925610834,0.05765037881930807,-0.00892736157611609,-0.04873616585442203,-0.12740607032435505,0.13721788996710763,-0.022934736431374156,-0.06497517035121256,0.008709485117311871,0.049214725186075725,0.039993445016866566,0.11762761569110883,0.08121984283352979,0.06631860137521037,0.20075884611328756,-0.11946840935273507
